r_large,r_small,alpha,mu,phi
1.3896999,0.9871,1.0,0.1,0.865423
1.3985,0.9981,1.0,0.1,0.815423
1.4007001,1.0002999,1.0,0.1,0.615423
1.3985,0.9981,1.0,0.1,0.595423
1.3985,0.9981,1.0,0.1,0.765423
1.4029,1.0047,1.0,0.1,0.635423
1.3985,1.0002999,1.0,0.1,0.775423
1.3985,0.9981,1.0,0.1,0.826423
1.3985,1.0002999,1.0,0.1,0.675423
1.3985,0.9981,1.0,0.1,0.735423
1.3963001,0.9959,1.0,0.1,0.845423
1.3919001,0.9915,1.0,0.1,0.855423
1.3985,0.9981,1.0,0.1,0.755423
1.4007001,1.0025,1.0,0.1,0.715423
1.3985,0.9981,1.0,0.1,0.725423
1.3985,1.0025,1.0,0.1,0.645423
1.3985,0.9981,1.0,0.1,0.825423
1.4007001,1.0025,1.0,0.1,0.625423
1.3985,0.9981,1.0,0.1,0.795423
1.3985,1.0002999,1.0,0.1,0.745423
1.4007001,1.0002999,1.0,0.1,0.695423
1.3985,0.9981,1.0,0.1,0.835423
1.3985,1.0025,1.0,0.1,0.685423
1.3985,0.9981,1.0,0.1,0.805423
1.3985,1.0002999,1.0,0.1,0.665423
1.4007001,0.9981,1.0,0.1,0.655423
1.3985,1.0002999,1.0,0.1,0.705423
1.3985,0.9981,1.0,0.1,0.785423
1.3985,1.0002999,1.0,0.1,0.605423
1.3985,0.9981,1.0,0.5,0.714353
1.3765,0.9761,1.0,0.5,0.842353
1.3985,1.0025,1.0,0.5,0.624353
1.3941,0.99369997,1.0,0.5,0.818353
1.3985,0.9981,1.0,0.5,0.784353
1.3787,0.97830003,1.0,0.5,0.839353
1.3941,0.9959,1.0,0.5,0.810353
1.3963001,0.9959,1.0,0.5,0.806353
1.3919001,0.99369997,1.0,0.5,0.822353
1.3985,0.9981,1.0,0.5,0.774353
1.3743,0.9761,1.0,0.5,0.846353
1.3963001,0.9959,1.0,0.5,0.796353
1.3985,0.9981,1.0,0.5,0.724353
1.3963001,0.9959,1.0,0.5,0.798353
1.3765,0.9761,1.0,0.5,0.843353
1.3963001,0.9959,1.0,0.5,0.805353
1.3941,0.99369997,1.0,0.5,0.816353
1.3787,0.97830003,1.0,0.5,0.836353
1.3941,0.9959,1.0,0.5,0.811353
1.3787,0.97830003,1.0,0.5,0.838353
1.3963001,0.9959,1.0,0.5,0.802353
1.3985,0.9981,1.0,0.5,0.764353
1.3809001,0.9805,1.0,0.5,0.833353
1.3985,0.9981,1.0,0.5,0.574353
1.3787,0.9805,1.0,0.5,0.835353
1.3787,0.97830003,1.0,0.5,0.837353
1.3809001,0.9827,1.0,0.5,0.831353
1.3941,0.99369997,1.0,0.5,0.819353
1.3985,0.9981,1.0,0.5,0.754353
1.3963001,0.9959,1.0,0.5,0.795353
1.3853,0.9893,1.0,0.5,0.828353
1.3985,1.0002999,1.0,0.5,0.584353
1.3963001,0.9959,1.0,0.5,0.801353
1.3985,0.9981,1.0,0.5,0.654353
1.4007001,0.9981,1.0,0.5,0.604353
1.3765,0.9761,1.0,0.5,0.845353
1.3919001,0.9915,1.0,0.5,0.824353
1.3985,0.9981,1.0,0.5,0.734353
1.3985,1.0002999,1.0,0.5,0.674353
1.3919001,0.9915,1.0,0.5,0.825353
1.3963001,0.9959,1.0,0.5,0.808353
1.3941,0.9915,1.0,0.5,0.820353
1.3809001,0.9805,1.0,0.5,0.834353
1.3809001,0.9827,1.0,0.5,0.832353
1.3985,0.9981,1.0,0.5,0.664353
1.3896999,0.9893,1.0,0.5,0.826353
1.3985,0.9981,1.0,0.5,0.744353
1.3985,0.9981,1.0,0.5,0.704353
1.3941,0.99369997,1.0,0.5,0.815353
1.3941,0.99369997,1.0,0.5,0.817353
1.3963001,0.9959,1.0,0.5,0.807353
1.3963001,0.9959,1.0,0.5,0.800353
1.3941,0.9959,1.0,0.5,0.813353
1.3985,0.9981,1.0,0.5,0.644353
1.3765,0.9761,1.0,0.5,0.841353
1.3963001,0.9981,1.0,0.5,0.794353
1.4007001,0.9981,1.0,0.5,0.594353
1.4007001,0.9981,1.0,0.5,0.694353
1.3919001,0.9915,1.0,0.5,0.823353
1.3941,0.9959,1.0,0.5,0.812353
1.3787,0.97830003,1.0,0.5,0.840353
1.3963001,0.9959,1.0,0.5,0.799353
1.3699,0.9717,1.0,0.5,0.854353
1.3985,1.0002999,1.0,0.5,0.684353
1.3831,0.98490006,1.0,0.5,0.830353
1.3985,1.0025,1.0,0.5,0.614353
1.3963001,0.9959,1.0,0.5,0.809353
1.3963001,0.9959,1.0,0.5,0.797353
1.3963001,0.9959,1.0,0.5,0.803353
1.3875,0.9893,1.0,0.5,0.827353
1.3919001,0.99369997,1.0,0.5,0.821353
1.3963001,0.9959,1.0,0.5,0.804353
1.3941,0.99369997,1.0,0.5,0.814353
1.3985,0.9981,1.0,0.5,0.634353
1.3831,0.9871,1.0,0.5,0.829353
1.3765,0.9761,1.0,0.5,0.844353
1.3985,0.9981,1.0,1.0,0.627325
1.3963001,0.9959,1.0,1.0,0.777325
1.3941,0.9959,1.0,1.0,0.790325
1.3633001,0.9629,1.0,1.0,0.834325
1.3677001,0.9695,1.0,1.0,0.821325
1.3985,1.0002999,1.0,1.0,0.667325
1.3655,0.9673,1.0,1.0,0.826325
1.3633001,0.9629,1.0,1.0,0.831325
1.3611,0.9607,1.0,1.0,0.838325
1.3721,0.9893,1.0,1.0,0.812325
1.3655,0.9651,1.0,1.0,0.829325
1.3699,0.9739,1.0,1.0,0.815325
1.3655,0.9651,1.0,1.0,0.830325
1.3633001,0.9629,1.0,1.0,0.836325
1.3985,0.9981,1.0,1.0,0.617325
1.3765,0.9915,1.0,1.0,0.809325
