RelativeDisplacement,Force
0.000000000000000000e+00,0.000000000000000000e+00
2.400000266788993031e-03,7.401834694394426872e-03
4.800000533577986062e-03,1.102153435417854190e-02
7.200000800366979092e-03,1.399304692321795031e-02
9.600001067155972123e-03,1.662749776388793704e-02
1.200000133394496515e-02,1.904721858851089744e-02
1.440000160073395818e-02,2.131491855584592698e-02
1.680000186752295122e-02,2.346754810504924488e-02
1.920000213431194425e-02,2.552961132843401676e-02
2.160000240110093728e-02,2.751795131981073228e-02
2.400000266788993031e-02,2.944529199843225892e-02
2.640000293467892334e-02,3.132115964939377606e-02
2.880000320146791637e-02,3.315325968278373669e-02
3.120000346825690940e-02,3.494743222209878430e-02
3.360000373504590243e-02,3.670860695333214019e-02
3.600000400183489546e-02,3.844076981628465062e-02
3.840000426862388849e-02,4.014682976980860074e-02
4.080000453541288152e-02,4.182980680171949350e-02
4.320000480220187455e-02,4.349166612467721821e-02
4.560000506899086758e-02,4.513439515713413286e-02
4.800000533577986062e-02,4.675951499589477145e-02
5.040000560256885365e-02,4.836844681169610860e-02
5.280000586935784668e-02,4.996218986521293315e-02
5.520000613614683971e-02,5.154198768083996518e-02
5.760000640293583274e-02,5.310848422656790080e-02
6.000000666972482577e-02,5.466271207176019720e-02
6.240000693651381880e-02,5.620537069888915938e-02
6.480000720330281183e-02,5.773692642960329136e-02
6.720000747009180486e-02,5.925820087823474580e-02
6.960000773688079789e-02,6.076957154326093069e-02
7.200000800366979092e-02,6.227154915791560663e-02
7.440000827045878395e-02,6.376464445543243709e-02
7.680000853724777699e-02,6.524930155166686063e-02
7.920000880403677002e-02,6.672585353351054294e-02
8.160000907082576305e-02,6.819478892840430406e-02
8.400000933761475608e-02,6.965624097110517665e-02
8.640000960440374911e-02,7.111074260063929287e-02
8.880000987119274214e-02,7.255852697783089778e-02
9.120001013798173517e-02,7.399989388088241971e-02
9.360001040477072820e-02,7.543500985323983721e-02
9.600001067155972123e-02,7.686424129048369247e-02
9.840001093834871426e-02,7.828778804474897934e-02
1.008000112051377073e-01,7.970601651161618451e-02
1.032000114719267003e-01,8.111888227950027341e-02
1.056000117387156934e-01,8.252682946425621280e-02
1.080000120055046864e-01,8.392989137457346205e-02
1.104000122722936794e-01,8.532835668575783350e-02
1.128000125390826724e-01,8.672229201518788511e-02
1.152000128058716655e-01,8.811199714106573988e-02
1.176000130726606585e-01,8.949750537208081558e-02
1.200000133394496515e-01,9.087910538353881351e-02
1.224000136062386446e-01,9.225680827833643294e-02
1.248000138730276376e-01,9.363074729123027629e-02
1.272000141398166306e-01,9.500113337725152318e-02
1.296000144066056237e-01,9.636804425667494511e-02
1.320000146733946167e-01,9.773159095846439826e-02
1.344000149401836097e-01,9.909175127682748330e-02
1.368000152069726028e-01,1.004488582986551720e-01
1.392000154737615958e-01,1.018029897442222359e-01
1.416000157405505888e-01,1.031541345106325447e-01
1.440000160073395818e-01,1.045023703181608560e-01
1.464000162741285749e-01,1.058478081957709427e-01
1.488000165409175679e-01,1.071905591724266193e-01
1.512000168077065609e-01,1.085305122191645433e-01
1.536000170744955540e-01,1.098681225547355061e-01
1.560000173412845470e-01,1.112031237096271774e-01
1.584000176080735400e-01,1.125356600214923869e-01
1.608000178748625331e-01,1.138658536221912043e-01
1.632000181416515261e-01,1.151936823059311471e-01
1.656000184084405191e-01,1.165192126900905234e-01
1.680000186752295122e-01,1.178426113181147844e-01
1.704000189420185052e-01,1.191638226755223628e-01
1.728000192088074982e-01,1.204829022767952007e-01
1.752000194755964912e-01,1.217999167393115922e-01
1.776000197423854843e-01,1.231149104746570716e-01
1.800000200091744773e-01,1.244278501741427762e-01
1.824000202759634703e-01,1.257388468667323955e-01
1.848000205427524634e-01,1.270479560669078301e-01
1.872000208095414564e-01,1.283551000543947662e-01
1.896000210763304494e-01,1.296605008871203335e-01
1.920000213431194425e-01,1.309640031245358494e-01
1.944000216099084355e-01,1.322657733100866539e-01
1.968000218766974285e-01,1.335657448263948277e-01
1.992000221434864216e-01,1.348638843647714247e-01
2.016000224102754146e-01,1.361604139831436022e-01
2.040000226770644076e-01,1.374552448583406528e-01
2.064000229438534006e-01,1.387483658874663905e-01
2.088000232106423937e-01,1.400398547907954483e-01
2.112000234774313867e-01,1.413297226712241783e-01
2.136000237442203797e-01,1.426180139403381841e-01
2.160000240110093728e-01,1.439046175691740814e-01
2.184000242777983658e-01,1.451897001011772104e-01
2.208000245445873588e-01,1.464732615363477097e-01
2.232000248113763519e-01,1.477553018746857183e-01
2.256000250781653449e-01,1.490357211901241485e-01
2.280000253449543379e-01,1.503146971290047484e-01
